UASG,Modalidade da Licitação,Número do Aviso da Licitação,Identificador da Licitação,Tipo do Pregão,Situação do Aviso,Objeto,Informações Gerais,Número do Processo,Tipo de Recurso,Número de Itens na Licitação,Nome do Responsável,Função do Responsável,Data de Entrega do Edital,Endereço de Entrega do Edital,Data de Abertura da Proposta,Data de Entrega da Proposta,Data de Publicação,Itens da licitação > uri
153229: MEC-ESCOLA AGROTECNICA FED./COLOR.DO OESTE/RO,"5: PREGÃO                                            ",00001/2004,15322905000012004,Presencial,Publicado,Aquisição de Equipamentos e Mobiliário,,3000010824200425,Nacional,43,HEMERSON ALVES DE FARIA,Pregoeiro,01/11/2004 08:00,Rodovia 399 km 05 cx postal 47 - Zona Rural/RO,,16/11/2004 08:00,01/11/2004,/licitacoes/id/licitacao/15322905000012004/itens
153229: MEC-ESCOLA AGROTECNICA FED./COLOR.DO OESTE/RO,"5: PREGÃO                                            ",00001/2005,15322905000012005,Presencial,Publicado,Aquisição de Conbustível e Gás de Cozin ha,,3000062024200571,Nacional,5,DÉBORA GONÇALVES DE LIMA,Pregoeira,22/02/2005 08:00,Rod 399 Km 05 zona rural - /RO,,04/03/2005 09:00,22/02/2005,/licitacoes/id/licitacao/15322905000012005/itens
153229: MEC-ESCOLA AGROTECNICA FED./COLOR.DO OESTE/RO,"3: CONCORRÊNCIA                                      ",00001/2005,15322903000012005,,Divulgado,,,,Nacional,,,,," - /",,,,/licitacoes/id/licitacao/15322903000012005/itens
153229: MEC-ESCOLA AGROTECNICA FED./COLOR.DO OESTE/RO,"1: CONVITE                                           ",00001/2005,15322901000012005,,Divulgado,Aquisição de de Gado para Abate,,3000062088000171,Nacional,1,,,06/05/2005 08:00,Rodovia 399 km 05 - Zona Rural/RO,,13/05/2005 08:00,,/licitacoes/id/licitacao/15322901000012005/itens
153229: MEC-ESCOLA AGROTECNICA FED./COLOR.DO OESTE/RO,"2: TOMADA DE PREÇOS                                  ",00001/2005,15322902000012005,,Publicado,"Reforma e Manutenção dos setores ZooI, Zoo II, Zoo III e Alojamentos",,3000062217200521,Nacional,5,VANDERLEI KUIPERS,Presidente da CPL,07/10/2005 08:00,Rodovia 399 km 05 cx postal 47 - Zona Rural/RO,,24/10/2005 14:00,06/10/2005,/licitacoes/id/licitacao/15322902000012005/itens
153229: MEC-ESCOLA AGROTECNICA FED./COLOR.DO OESTE/RO,"5: PREGÃO                                            ",00001/2006,15322905000012006,Eletrônico,Publicado,Pregão Eletrônico Serviço de forneci mento de passagens aereas,,3000062015200661,Nacional,1,VANDERLEI KUIPERS,Pregoeiro,07/02/2006 08:00,Rodovia 399 km 05 caixa postal 47 - Zona rural/RO,17/02/2006 10:00,07/02/2006 08:00,06/02/2006
153229: MEC-ESCOLA AGROTECNICA FED./COLOR.DO OESTE/RO,"2: TOMADA DE PREÇOS                                  ",00001/2006,15322902000012006,,Publicado,Construçao ereforma da segunda etapa do  alojamento feminino e refeitorio,,3000062235200694,Nacional,2,VANDERLEI KUIPERS,Presidente da CPL,12/06/2006 08:00,Rodovia 399 Km 05                    caixa postal 47 - Zona rural/RO,,27/06/2006 09:00,12/06/2006,/licitacoes/id/licitacao/15322902000012006/itens
153229: MEC-ESCOLA AGROTECNICA FED./COLOR.DO OESTE/RO,"2: TOMADA DE PREÇOS                                  ",00001/2007,15322902000012007,,Publicado,"Serviço de ampliação de rede eletri ca,telefonica, hidráulica e colocação de forro 2 serviço de estrutura de concreto para caixa de água, 3 serviço de construção de moega com poço de elevador e base de silo",,23000062118200710,Nacional,3,MARIA ROSA SANTOS SILVA,Presidente da Comissão de Licitação,11/04/2007 08:00,Rodovia 399 km 05 cx postal 51 - Zona Rural/RO,,27/04/2007 09:00,11/04/2007,/licitacoes/id/licitacao/15322902000012007/itens
153229: MEC-ESCOLA AGROTECNICA FED./COLOR.DO OESTE/RO,"5: PREGÃO                                            ",00001/2007,15322905000012007,Eletrônico,Publicado,Pregão Eletrônico Contratação de empresa especializada no fornecimento de passagens aéreas.,,23000062027200776,Nacional,1,DEBORA GONÇALVES DE LIMA,Pregoeira,02/02/2007 08:00,Rodovia 399 km 05 - Zona Rural/RO,14/02/2007 10:00,02/02/2007 08:00,02/02/2007
153229: MEC-ESCOLA AGROTECNICA FED./COLOR.DO OESTE/RO,"2: TOMADA DE PREÇOS                                  ",00001/2008,15322902000012008,,Publicado,Contratação de Obra para a Construção d o Centro Vocacional Tecnologico,,23000074206200837,Nacional,1,VANDERLEI KUIPERS,Presidente Substituto da CPL,09/07/2008 08:00,Escola Agrotecnica Federal de Colorado do Oeste Rod 399 Km 05 caixa postal 51 - Zona Rural/RO,,24/07/2008 09:00,09/07/2008,/licitacoes/id/licitacao/15322902000012008/itens
153229: MEC-ESCOLA AGROTECNICA FED./COLOR.DO OESTE/RO,"5: PREGÃO                                            ",00001/2008,15322905000012008,Eletrônico,Publicado,Pregão Eletrônico Fornecimento de passagens aéreas,,23000074024200866,Nacional,1,VANDERLEI KUIPERS,Pregoeiro,25/02/2008 08:00,Rodovia 399 km 05 - Zona rural/RO,07/03/2008 08:00,25/02/2008 08:00,25/02/2008
153229: MEC-ESCOLA AGROTECNICA FED./COLOR.DO OESTE/RO,"2: TOMADA DE PREÇOS                                  ",00001/2009,15322902000012009,,Publicado,Serviço de manutenção de Rede Elétrica Alta e Baixa tensão,,23000062183200907,Nacional,1,VANDERLEI KUIPERS,Presidente Substituto da CPL,03/04/2009 08:00,IFR Campus Colorado do Oeste Rod 399 Km 05 caixa postal 51 - Zona Rural/RO,,22/04/2009 09:00,03/04/2009,/licitacoes/id/licitacao/15322902000012009/itens
153229: MEC-ESCOLA AGROTECNICA FED./COLOR.DO OESTE/RO,"5: PREGÃO                                            ",00001/2009,15322905000012009,Eletrônico,Publicado,Pregão Eletrônico Telefonia Movel,,23000074506200816,Nacional,1,VANDERLEI KUIPERS,Pregoeiro,05/01/2009 08:00,Escola Agrotecnica Ferderal de Colorado do Oeste Rod 399 Km 05 Caixa postal 51 - Zona Rural/RO,19/01/2009 10:00,05/01/2009 08:00,05/01/2009
153229: MEC-ESCOLA AGROTECNICA FED./COLOR.DO OESTE/RO,"3: CONCORRÊNCIA                                      ",00001/2009,15322903000012009,,Publicado,"Construção dec Salas de Aulas, Salas Ad ministrativas e Reforma nas Edificações do Vive iro de Animais Silvertres (Zoologico)",,23000062453200971,Nacional,2,VANDERLEI KUIPERS,Presidente da C.P.L,03/09/2009 08:00,Instituto Federal de Rondonia Campus de Colorado do Oeste caixa postal 51 - Zona Rural/RO,,05/10/2009 09:00,03/09/2009,/licitacoes/id/licitacao/15322903000012009/itens
153229: MEC-ESCOLA AGROTECNICA FED./COLOR.DO OESTE/RO,"1: CONVITE                                           ",00002/1999,15322901000021999,,Publicado,"Aquisição de Equipamentos Agrícolas  e Ferramentas, conforme Contrato de Empréstimo 10 52/OC-BR-MEC/BID, Convênio MEC/127/98/PROEP.",,3000061646/99-63,Nacional,23,MARIA APARECIDA BOAVENTURA,Presidente da Comissão Especial de Licitação,11/08/1999 08:00,"Rodovia 399, Km 05 - Zona Rural/RO",,24/08/1999 14:00,11/08/1999,/licitacoes/id/licitacao/15322901000021999/itens
153229: MEC-ESCOLA AGROTECNICA FED./COLOR.DO OESTE/RO,"1: CONVITE                                           ",00002/2000,15322901000022000,,Divulgado,Aquisição de Produtos Químicos e Laboratórios.,,3000061544200051,Nacional,264,,,24/02/2000 08:00,"Rodovia 399, Km 05 - Zona Rural/RO",,03/03/2000 08:00,,/licitacoes/id/licitacao/15322901000022000/itens
153229: MEC-ESCOLA AGROTECNICA FED./COLOR.DO OESTE/RO,"3: CONCORRÊNCIA                                      ",00002/2000,15322903000022000,,Publicado,"Aquisição de implementos agríc., equipamentos, ferramentas, materiais topográficos e para laboratórios.","Edital R$ 10,00",3000061681200096,Nacional,57,JACKSON BEZERRA NUNES,Presidente da CEL,24/10/2000 08:00,"Rodovia 399, Km 05 - Zona Rural/RO",,24/11/2000 08:00,24/10/2000,/licitacoes/id/licitacao/15322903000022000/itens
153229: MEC-ESCOLA AGROTECNICA FED./COLOR.DO OESTE/RO,"3: CONCORRÊNCIA                                      ",00002/2001,15322903000022001,,Publicado,Construção de um prédio para Agroindústria.,"Edital R$100,00 (cem reais)",3000063071200116,Nacional,1,JACKSON BEZERRA NUNES,Presidente da Comissão Especial de Licitação,04/05/2001 08:00,"Rodovia 399, Km 05 - Zona Rural/RO",,06/06/2001 08:00,04/05/2001,/licitacoes/id/licitacao/15322903000022001/itens
153229: MEC-ESCOLA AGROTECNICA FED./COLOR.DO OESTE/RO,"1: CONVITE                                           ",00002/2001,15322901000022001,,Divulgado,Aquisicao de Produtos Agricolas e Zootecnicos.,,3000063020200186,Nacional,75,,,12/03/2001 08:00,"Rodovia 399, KM 05 - Zona Rural/RO",,19/03/2001 09:00,,/licitacoes/id/licitacao/15322901000022001/itens
153229: MEC-ESCOLA AGROTECNICA FED./COLOR.DO OESTE/RO,"1: CONVITE                                           ",00002/2002,15322901000022002,,Divulgado,"Aquisição de comburtível, gás, oxigênio e acetileno para solda.",,3000063002200285,Nacional,8,,,18/02/2002 08:00,Rod 399 km 05 - Zona Rural/RO,,26/02/2002 10:00,,/licitacoes/id/licitacao/15322901000022002/itens
153229: MEC-ESCOLA AGROTECNICA FED./COLOR.DO OESTE/RO,"2: TOMADA DE PREÇOS                                  ",00002/2003,15322902000022003,,Publicado,"Aquisiçao de Gêneros Alimentícios, Mate riais de limpeza e Utensílios.",,3000072029200340,Nacional,83,ROMUALDO DE OLIVEIRA,Presidente da CPL,21/02/2003 08:00,Rod 399 km 61 - Zona Rural/RO,,17/03/2003 08:00,21/02/2003,/licitacoes/id/licitacao/15322902000022003/itens
153229: MEC-ESCOLA AGROTECNICA FED./COLOR.DO OESTE/RO,"1: CONVITE                                           ",00002/2003,15322901000022003,,Divulgado,Aquisição de Combustiveis.,,3000072010200301,Nacional,5,,,20/02/2003 08:00,Rod 399 km 61 - Zona Rural/RO,,03/03/2003 08:00,,/licitacoes/id/licitacao/15322901000022003/itens
153229: MEC-ESCOLA AGROTECNICA FED./COLOR.DO OESTE/RO,"2: TOMADA DE PREÇOS                                  ",00002/2004,15322902000022004,,Publicado,Aquisição de Produtos Agropecuários,,3000072014200462,Nacional,338,VANDERLEI KUIPERS,Presidente da CPL,11/06/2004 08:00,Escola Agrotecnica Federal de Colorado do Oeste ROD 399 KM 05 - Zona Rural/RO,,30/06/2004 08:00,11/06/2004,/licitacoes/id/licitacao/15322902000022004/itens
153229: MEC-ESCOLA AGROTECNICA FED./COLOR.DO OESTE/RO,"1: CONVITE                                           ",00002/2004,15322901000022004,,Divulgado,Aquisição de Material de Expediente,,3000072015200415,Nacional,148,VANDERLEI KUIPERS,Presidente da CPL,16/04/2004 08:00,EAF Rodovia 399 Km 05 Zona Rural - Zona Rural/RO,,26/04/2004 08:00,,/licitacoes/id/licitacao/15322901000022004/itens
153229: MEC-ESCOLA AGROTECNICA FED./COLOR.DO OESTE/RO,"5: PREGÃO                                            ",00002/2004,15322905000022004,Presencial,Publicado,Aquisição de Equipamentos e Mobiliário,,3000010824200425,Nacional,43,HEMERSON ALVES DE FARIA,Pregoeiro,19/11/2004 08:00,Rodovia 399 km 05 cx postal 47 - Zona Rural/RO,,01/12/2004 09:00,19/11/2004,/licitacoes/id/licitacao/15322905000022004/itens
153229: MEC-ESCOLA AGROTECNICA FED./COLOR.DO OESTE/RO,"1: CONVITE                                           ",00002/2005,15322901000022005,,Divulgado,Aquisição de Material para Construção,,3000062130200554,Nacional,45,,,09/06/2005 08:00,Rodovia 399 km 05 cx postal 47 - Zona Rural/RO,,17/06/2005 08:00,,/licitacoes/id/licitacao/15322901000022005/itens
153229: MEC-ESCOLA AGROTECNICA FED./COLOR.DO OESTE/RO,"2: TOMADA DE PREÇOS                                  ",00002/2005,15322902000022005,,Publicado,Construçao de Alojamento Feminino,,3000062299200512,Nacional,1,VANDERLEI KUIPERS,Presidente da CPL,10/11/2005 08:00,Rod 399 km 05 - Zona Rural/RO,,25/11/2005 14:00,09/11/2005,/licitacoes/id/licitacao/15322902000022005/itens
153229: MEC-ESCOLA AGROTECNICA FED./COLOR.DO OESTE/RO,"5: PREGÃO                                            ",00002/2005,15322905000022005,Presencial,Publicado,Aquisição de Material de Expediente,,3000062029200501,Nacional,98,DEBORA GONÇALVES DE LIMA,Pregoeira,25/02/2005 08:00,Rodovia 399 km 05 cx postal 47 - Zona Rural/RO,,09/03/2005 09:00,25/02/2005,/licitacoes/id/licitacao/15322905000022005/itens
153229: MEC-ESCOLA AGROTECNICA FED./COLOR.DO OESTE/RO,"5: PREGÃO                                            ",00002/2006,15322905000022006,Eletrônico,Publicado,Pregão Eletrônico Contratação de em presa especializada no fornecimento de pas sagens terrestres intermunicipais e interresta duais,,3000062106200604,Nacional,1,MARIA ROSA SANTOS SILVA,Pregoeira,10/03/2006 08:00,"Rodovia 399, km 05, cx postal 47 - Zona Rural/RO",22/03/2006 09:00,10/03/2006 08:00,09/03/2006
153229: MEC-ESCOLA AGROTECNICA FED./COLOR.DO OESTE/RO,"2: TOMADA DE PREÇOS                                  ",00002/2006,15322902000022006,,Publicado,Construção de guarita,,3000062275200636,Nacional,1,MARIA ROSA SANTOS SILVA,Pregoeira,13/07/2006 08:00,"Rodovia 399, km 05 cx postal 51 - Zona Rural/RO",,28/07/2006 09:00,12/07/2006,/licitacoes/id/licitacao/15322902000022006/itens
153229: MEC-ESCOLA AGROTECNICA FED./COLOR.DO OESTE/RO,"2: TOMADA DE PREÇOS                                  ",00002/2007,15322902000022007,,Publicado,Serviço de Construção e Reforma,,23000062392200781,Nacional,6,VANDERLEI KUIPERS,Presidente da Comissão Permanete de Licitações,27/08/2007 08:00,Escola Agrotecnica Federal de Colorado ROD 399 Km 05 caixa postal 51 - Zona Rural/RO,,11/09/2007 09:00,24/08/2007,/licitacoes/id/licitacao/15322902000022007/itens
153229: MEC-ESCOLA AGROTECNICA FED./COLOR.DO OESTE/RO,"5: PREGÃO                                            ",00002/2007,15322905000022007,Eletrônico,Publicado,Pregão Eletrônico Aquisição de matri zes e reprodutores de suinos,,23000062057200782,Nacional,6,MARIA ROSA SANTOS SILVA,Pregoeira,12/03/2007 08:00,Rodovia 399 km 05 cx postal 51 - Zona Rural/RO,22/03/2007 10:00,12/03/2007 08:00,12/03/2007
153229: MEC-ESCOLA AGROTECNICA FED./COLOR.DO OESTE/RO,"5: PREGÃO                                            ",00002/2008,15322905000022008,Eletrônico,Publicado,Pregão Eletrônico Aquisição de Pneus,,23000074091200881,Nacional,11,MARIA ROSA SANTOS SILVA BRAGA,Pregoeira,10/04/2008 08:00,Rodovia 399 km 05 cx postal 51 - Zona Rural/RO,23/04/2008 10:00,10/04/2008 08:00,10/04/2008
153229: MEC-ESCOLA AGROTECNICA FED./COLOR.DO OESTE/RO,"2: TOMADA DE PREÇOS                                  ",00002/2008,15322902000022008,,Publicado,"Construção casa do Mel item 01, sala de Estudo e tv item 02",,23000074509200850,Nacional,2,VANDERLEI KUIPERS,Presidente substituto da C.P.L,28/11/2008 08:00,Escola Agrotecnica Federal de Colorado do Oeste Rod 399 Km 05 caixa postal 51 - Zona Rural/RO,,15/12/2008 09:00,28/11/2008,/licitacoes/id/licitacao/15322902000022008/itens
153229: MEC-ESCOLA AGROTECNICA FED./COLOR.DO OESTE/RO,"5: PREGÃO                                            ",00002/2009,15322905000022009,Eletrônico,Publicado,Pregão Eletrônico Contratação de emp resa especializada em seguro escolar.,,23000062000200945,Nacional,1,RENATO MARCOS SANDI SILVA,Pregoeiro,09/01/2009 08:00,Rod. 339 km05 - Zona rural/RO,21/01/2009 10:00,09/01/2009 08:00,09/01/2009
153229: MEC-ESCOLA AGROTECNICA FED./COLOR.DO OESTE/RO,"2: TOMADA DE PREÇOS                                  ",00002/2009,15322902000022009,,Publicado,"Reforma e Adequações no Vestiario Masc/ Feminino, Ampliação da Biblioteca, Cobertura entre os Blocos Administrativos e Secretaria do Curso de Nivel Superior",,23000062265200943,Nacional,1,VANDERLEI KUIPERS,Presidente Substituto da C.P.L,05/06/2009 08:00,Instituto Federal de Rondonia Campus de Colorado Caixa postal 51 - Zona Rural/RO,,22/06/2009 09:00,05/06/2009,/licitacoes/id/licitacao/15322902000022009/itens
153229: MEC-ESCOLA AGROTECNICA FED./COLOR.DO OESTE/RO,"3: CONCORRÊNCIA                                      ",00002/2009,15322903000022009,,Publicado,"Construção de Salas de Aulas, Salas Administrativas e Reforma nas Edificações do Vi veiro de Animais Silvestres ( Zoologico)",,23000062453200971,Nacional,2,VANDERLEI KUIPERS,Presidente da CPL,29/09/2009 08:00,Instituto Federal de Rondonia Campus de Colorado do Oeste cx postal 51 - Zona Rural/RO,,29/10/2009 09:00,29/09/2009,/licitacoes/id/licitacao/15322903000022009/itens
153229: MEC-ESCOLA AGROTECNICA FED./COLOR.DO OESTE/RO,"1: CONVITE                                           ",00003/1999,15322901000031999,,Publicado,"Aquisição de Mobiliário através do Contrato de Empréstimo número 1052/OC-BR-MEC/BID , Convênio 127/98/PROEP.",,3000061678/99-50,Nacional,35,MARIA APARECIDA BOAVENTURA,Presidente da Comissão Especial de Licitação,16/08/1999 08:00,"Rodovia 399, Km 05 - Zona Rural/RO",,25/08/1999 08:00,16/08/1999,/licitacoes/id/licitacao/15322901000031999/itens
153229: MEC-ESCOLA AGROTECNICA FED./COLOR.DO OESTE/RO,"1: CONVITE                                           ",00003/2000,15322901000032000,,Divulgado,"Aquisição de gêneros alimentícios, limpeza, cama, mesa e banho.",,3000061531200082,Nacional,145,,,07/02/2000 08:00,"Rodovia 399, Km 05 - Zona Rural/RO",,15/02/2000 08:00,,/licitacoes/id/licitacao/15322901000032000/itens
153229: MEC-ESCOLA AGROTECNICA FED./COLOR.DO OESTE/RO,"1: CONVITE                                           ",00003/2001,15322901000032001,,Divulgado,Aquisicao de material de Expediente e Informatica.,,3000063026200153,Nacional,26,,,23/02/2001 08:00,"Rodovia 399, Km 05 - Zona Rural/RO",,09/03/2001 09:00,,/licitacoes/id/licitacao/15322901000032001/itens
153229: MEC-ESCOLA AGROTECNICA FED./COLOR.DO OESTE/RO,"3: CONCORRÊNCIA                                      ",00003/2001,15322903000032001,,Publicado,Aquisição de Equipamentos para agroindustria.,"Edital 10,00 (dez reais)",3000061747200048,Nacional,51,JACKSON BEZERRA NUNES,Presidente da CEL,22/10/2001 08:00,"Rodovia 399, Km 05 - Zona Rural/RO",,21/11/2001 08:00,22/10/2001,/licitacoes/id/licitacao/15322903000032001/itens
153229: MEC-ESCOLA AGROTECNICA FED./COLOR.DO OESTE/RO,"1: CONVITE                                           ",00003/2002,15322901000032002,,Divulgado,Fornecimento de Passagem Aérea,,3000063035200225,Nacional,20,,,18/02/2002 08:00,Rod 399 Km 05 - Zona Rural/RO,,27/02/2002 08:00,,/licitacoes/id/licitacao/15322901000032002/itens
153229: MEC-ESCOLA AGROTECNICA FED./COLOR.DO OESTE/RO,"2: TOMADA DE PREÇOS                                  ",00003/2003,15322902000032003,,Publicado,"Aquisição de Material de uso Zootécnico , Produtos Quimecos e Sementes",,3000072065200311,Nacional,111,VANDERLEI KUIPERS,Presidente da CPL,22/09/2003 08:00,Rodovia 399 Km 05 - Zona Rural/RO,,07/10/2003 08:00,19/09/2003,/licitacoes/id/licitacao/15322902000032003/itens
153229: MEC-ESCOLA AGROTECNICA FED./COLOR.DO OESTE/RO,"1: CONVITE                                           ",00003/2003,15322901000032003,,Divulgado,"Aquisição de material de construção, el etrico e para irrigação.",,3000072028200303,Nacional,239,,,19/02/2003 08:00,Rod 399 km 61 - Zona rural/RO,,28/02/2003 08:00,,/licitacoes/id/licitacao/15322901000032003/itens
153229: MEC-ESCOLA AGROTECNICA FED./COLOR.DO OESTE/RO,"1: CONVITE                                           ",00003/2004,15322901000032004,,Divulgado,"Aquisião de combustivel,gas liquefeito de petroleo e nitrogenio",,3000072029299421,Nacional,6,,,20/04/2004 08:00,"Escola Agrotecnica Federal de Colorado do Oeste, Rod. 399, Km 05 - Zona Rural/RO",,30/04/2004 08:00,,/licitacoes/id/licitacao/15322901000032004/itens
153229: MEC-ESCOLA AGROTECNICA FED./COLOR.DO OESTE/RO,"5: PREGÃO                                            ",00003/2004,15322905000032004,Presencial,Publicado,Aquisição de veiculo automotivo,,3000072291200475,Nacional,1,MARIA ROSA SANTOS SILVA,Pregoeira,20/12/2004 08:00,Rodovia 399 km 05 cx postal 47 - Zona Rural/RO,,30/12/2004 09:00,20/12/2004,/licitacoes/id/licitacao/15322905000032004/itens
